DATE_TIME,current_contract,next_contract,carry_contract
2003-11-10,20031100,20040100,20040100
2004-01-09,20040100,20040300,20040300
2004-03-10,20040300,20040500,20040500
2004-05-10,20040500,20040700,20040700
2004-07-09,20040700,20040900,20040900
2004-09-10,20040900,20041100,20041100
2004-11-10,20041100,20050100,20050100
2005-01-10,20050100,20050300,20050300
2005-03-10,20050300,20050500,20050500
2005-05-10,20050500,20050700,20050700
2005-07-11,20050700,20050900,20050900
2005-09-09,20050900,20051100,20051100
2005-11-10,20051100,20060100,20060100
2006-01-10,20060100,20060300,20060300
2006-03-10,20060300,20060500,20060500
2006-05-10,20060500,20060700,20060700
2006-07-10,20060700,20060900,20060900
2006-09-11,20060900,20061100,20061100
2006-11-10,20061100,20070100,20070100
2007-01-10,20070100,20070300,20070300
2007-03-09,20070300,20070500,20070500
2007-05-10,20070500,20070700,20070700
2007-07-10,20070700,20070900,20070900
2007-09-10,20070900,20071100,20071100
2007-11-09,20071100,20080100,20080100
2008-01-10,20080100,20080300,20080300
2008-03-10,20080300,20080500,20080500
2008-05-09,20080500,20080700,20080700
2008-07-10,20080700,20080900,20080900
2008-09-10,20080900,20081100,20081100
2008-11-10,20081100,20090100,20090100
2009-01-09,20090100,20090300,20090300
2009-03-10,20090300,20090500,20090500
2009-05-11,20090500,20090700,20090700
2009-07-10,20090700,20090900,20090900
2009-09-10,20090900,20091100,20091100
2009-11-10,20091100,20100100,20100100
2010-01-11,20100100,20100300,20100300
2010-03-10,20100300,20100500,20100500
2010-05-10,20100500,20100700,20100700
2010-07-09,20100700,20100900,20100900
2010-09-10,20100900,20101100,20101100
2010-11-10,20101100,20110100,20110100
2011-01-10,20110100,20110300,20110300
2011-03-10,20110300,20110500,20110500
2011-05-10,20110500,20110700,20110700
2011-07-11,20110700,20110900,20110900
2011-09-09,20110900,20111100,20111100
2011-11-10,20111100,20120100,20120100
2012-01-10,20120100,20120300,20120300
2012-03-09,20120300,20120500,20120500
2012-05-10,20120500,20120700,20120700
2012-07-10,20120700,20120900,20120900
2012-09-10,20120900,20121100,20121100
2012-11-09,20121100,20130100,20130100
2013-01-10,20130100,20130300,20130300
2013-03-11,20130300,20130500,20130500
2013-05-10,20130500,20130700,20130700
2013-07-10,20130700,20130900,20130900
2013-09-10,20130900,20131100,20131100
2013-11-11,20131100,20140100,20140100
2014-01-10,20140100,20140300,20140300
2014-03-10,20140300,20140500,20140500
2014-05-09,20140500,20140700,20140700
2014-07-10,20140700,20140900,20140900
2014-09-10,20140900,20141100,20141100
2014-11-10,20141100,20150100,20150100
2015-01-09,20150100,20150300,20150300
2015-03-10,20150300,20150500,20150500
2015-05-11,20150500,20150700,20150700
2015-07-10,20150700,20150900,20150900
2015-09-10,20150900,20151100,20151100
2015-11-10,20151100,20160100,20160100
2016-01-11,20160100,20160300,20160300
2016-03-10,20160300,20160500,20160500
2016-05-10,20160500,20160700,20160700
2016-07-11,20160700,20160900,20160900
2016-09-09,20160900,20161100,20161100
2016-11-10,20161100,20170100,20170100
2017-01-10,20170100,20170300,20170300
2017-03-10,20170300,20170500,20170500
2017-05-10,20170500,20170700,20170700
2017-07-10,20170700,20170900,20170900
2017-09-11,20170900,20171100,20171100
2017-11-10,20171100,20180100,20180100
2018-01-10,20180100,20180300,20180300
2018-03-09,20180300,20180500,20180500
2018-05-10,20180500,20180700,20180700
2018-07-10,20180700,20180900,20180900
2018-09-10,20180900,20181100,20181100
2018-11-09,20181100,20190100,20190100
2019-01-10,20190100,20190300,20190300
2019-03-11,20190300,20190500,20190500
2019-05-10,20190500,20190700,20190700
2019-07-10,20190700,20190900,20190900
2019-09-10,20190900,20191100,20191100
2019-11-11,20191100,20200100,20200100
2020-01-10,20200100,20200300,20200300
2020-03-10,20200300,20200500,20200500
2020-05-11,20200500,20200700,20200700
2020-07-10,20200700,20200900,20200900
2020-09-10,20200900,20201100,20201100
2020-11-10,20201100,20210100,20210100
2021-01-11,20210100,20210300,20210300
2021-03-10,20210300,20210500,20210500
2021-05-10,20210500,20210700,20210700
2021-07-09,20210700,20210900,20210900
2021-09-10,20210900,20211100,20211100
2021-11-10,20211100,20220100,20220100
2022-01-10,20220100,20220300,20220300
2022-03-10,20220300,20220500,20220500
2022-05-10,20220500,20220700,20220700
2022-07-11,20220700,20220900,20220900
2022-09-09,20220900,20221100,20221100
2022-11-10,20221100,20230100,20230100
2023-01-10,20230100,20230300,20230300
2023-03-10,20230300,20230500,20230500
2023-05-10,20230500,20230700,20230700
2023-07-10,20230700,20230900,20230900
2023-09-11,20230900,20231100,20231100
2023-11-10,20231100,20240100,20240100
2024-01-10,20240100,20240300,20240300
2024-03-11,20240300,20240500,20240500
2024-05-10,20240500,20240700,20240700
2024-07-10,20240700,20240900,20240900
2024-09-10,20240900,20241100,20241100
2024-11-11,20241100,20250100,20250100
2025-01-10,20250100,20250300,20250300
2025-03-10,20250300,20250500,20250500
2025-05-09,20250500,20250700,20250700
2025-07-10,20250700,20250900,20250900
2025-09-10,20250900,20251100,20251100
2025-11-10,20251100,20260100,20260100
2026-01-09,20260100,20260300,20260300
2026-03-10,20260300,20260500,20260500
2026-05-11,20260500,20260700,20260700
2026-07-10,20260700,20260900,20260900
2026-09-10,20260900,20261100,20261100
2026-09-18,20261100,20270100,20270100
