DATE_TIME,current_contract,next_contract,carry_contract
2019-06-11,20190600,20190900,20190900
2019-09-11,20190900,20191200,20191200
2019-12-11,20191200,20200300,20200300
2020-03-11,20200300,20200600,20200600
2020-06-11,20200600,20200900,20200900
2020-09-11,20200900,20201200,20201200
2020-12-11,20201200,20210300,20210300
2021-03-11,20210300,20210600,20210600
2021-06-11,20210600,20210900,20210900
2021-09-10,20210900,20211200,20211200
2021-12-10,20211200,20220300,20220300
2022-03-11,20220300,20220600,20220600
2022-06-10,20220600,20220900,20220900
2022-09-12,20220900,20221200,20221200
2022-12-12,20221200,20230300,20230300
2023-03-10,20230300,20230600,20230600
2023-06-12,20230600,20230900,20230900
2023-09-11,20230900,20231200,20231200
2023-12-11,20231200,20240300,20240300
2024-03-11,20240300,20240600,20240600
2024-06-11,20240600,20240900,20240900
2024-09-11,20240900,20241200,20241200
2024-12-11,20241200,20250300,20250300
2025-03-11,20250300,20250600,20250600
2025-06-11,20250600,20250900,20250900
2025-09-11,20250900,20251200,20251200
2025-12-11,20251200,20260300,20260300
2026-03-11,20260300,20260600,20260600
2026-06-11,20260600,20260900,20260900
2026-09-11,20260900,20261200,20261200
2026-09-18,20261200,20270300,20270300
