DATE_TIME,current_contract,next_contract,carry_contract
2016-02-24,20160300,20160600,20160600
2016-05-26,20160600,20160900,20160900
2016-08-26,20160900,20161200,20161200
2016-11-25,20161200,20170300,20170300
2017-02-23,20170300,20170600,20170600
2017-05-26,20170600,20170900,20170900
2017-08-25,20170900,20171200,20171200
2017-11-24,20171200,20180300,20180300
2018-02-23,20180300,20180600,20180600
2018-05-25,20180600,20180900,20180900
2018-08-27,20180900,20181200,20181200
2018-11-26,20181200,20190300,20190300
2019-02-22,20190300,20190600,20190600
2019-05-24,20190600,20190900,20190900
2019-08-26,20190900,20191200,20191200
2019-11-25,20191200,20200300,20200300
2020-02-24,20200300,20200600,20200600
2020-05-26,20200600,20200900,20200900
2020-08-26,20200900,20201200,20201200
2020-11-25,20201200,20210300,20210300
2021-02-23,20210300,20210600,20210600
2021-05-26,20210600,20210900,20210900
2021-08-26,20210900,20211200,20211200
2021-11-24,20211200,20220300,20220300
2022-02-23,20220300,20220600,20220600
2022-05-26,20220600,20220900,20220900
2022-08-26,20220900,20221200,20221200
2022-11-25,20221200,20230300,20230300
2023-02-23,20230300,20230600,20230600
2023-05-26,20230600,20230900,20230900
2023-08-25,20230900,20231200,20231200
2023-11-24,20231200,20240300,20240300
2024-02-23,20240300,20240600,20240600
2024-05-24,20240600,20240900,20240900
2024-08-26,20240900,20241200,20241200
2024-11-25,20241200,20250300,20250300
2025-02-24,20250300,20250600,20250600
2025-05-27,20250600,20250900,20250900
2025-08-26,20250900,20251200,20251200
2025-11-25,20251200,20260300,20260300
2026-02-23,20260300,20260600,20260600
2026-05-26,20260600,20260900,20260900
2026-08-26,20260900,20261200,20261200
